__quarterly__,y,y_tnd,diff_y_tnd,y_gap,diff_cpi,diff4_cpi,E_diff_cpi,rs,rrs_gap,rrs,cpi,Y,
2014-01-01,974.224455462048,975.37763317702,1.500002302857,-1.153177714974,3.759823569884,4.37904689442,3.039775229282,7.28308491098,3.743417193756,4.243417193757,546.784237326494,17021.704680872914,
2014-04-01,974.379613615787,975.752633752733,1.500002302857,-1.373020136948,2.802601722362,3.907212834558,2.182749775693,6.114418877385,3.431545085487,3.931545085487,547.484887757084,17048.135743262374,
2014-07-01,974.603955583765,976.127634328446,1.500002302857,-1.523678744684,1.563971680842,3.127815704368,1.123742809485,4.300578512451,2.676463580352,3.176463580352,547.875880677294,17086.424799644898,
2014-10-01,974.924224,976.50263490416,1.500002302857,-1.578410904162,0.171067290826,2.074366065979,-0.021084532083,1.940042690166,1.460540210744,1.960540210745,547.9186475,17141.234944683903,
2015-01-01,975.734248,977.12768368177,2.500195110441,-1.393435681772,1.367426,1.476266673508,1.137946428018,1.256461179482,-0.382176320857,0.117823679144,548.260504,17280.646934641594,
2015-04-01,976.312574,977.79137157687,2.654751580402,-1.478797576872,2.075511,1.294493992917,1.750014286184,1.304830985974,-0.946458163682,-0.446458163682,548.779381749999,17380.87495182139,
2015-07-01,976.635425,978.05633330231,1.059846901762,-1.420908302312,2.026382,1.410096572707,1.719216029746,1.322035817393,-0.898985667249,-0.398985667248,549.285977249999,17437.079960808944,
2015-10-01,976.781552500001,978.14516353057,0.355320913042,-1.363611030572,1.959921,1.85731,1.677590934379,1.297371278884,-0.87981145733,-0.379811457329,549.775957499999,17462.57895581329,
2016-01-01,977.369003500001,978.528001268331,1.531350951046,-1.158997768333,1.728568,1.9475955,1.530221137017,1.15057619326,-0.878486223802,-0.378486223802,550.208099499998,17565.464957054894,
2016-04-01,977.670936,978.894468140261,1.465867487724,-1.223532140263,2.136737,1.962902,1.869071299346,1.344810465674,-1.024850425671,-0.52485042567,550.742283749998,17618.58095140928,
2016-07-01,978.270252,979.623785823366,2.917270732421,-1.353533823368,1.723829,1.88726375,1.476748754915,1.122718678281,-0.853711622617,-0.353711622616,551.173240999998,17724.48897087715,
2016-10-01,978.7659105,980.244642722406,2.483427596162,-1.478732222408,1.583422,1.793139,1.332410950119,0.827200109652,-1.006192867887,-0.506192867886,551.569096499997,17812.55999248654,
2017-01-01,979.19465325,980.887951830874,2.573236433874,-1.693298580876,1.975574,1.8548905,1.629719592557,0.864912908696,-1.264374128129,-0.764374128129,552.062989999997,17889.094001814356,
2017-04-01,979.6971815,981.429701276439,2.166997782263,-1.732519776441,1.161944,1.61119225,0.917703968246,0.252173064999,-1.166899310115,-0.666899310114,552.353475999996,17979.21801248752,
2017-07-01,980.52126525,982.160797403669,2.924384508922,-1.639532153671,1.489592,1.552633,1.245906218458,0.094813170481,-1.651002246128,-1.151002246127,552.725873999996,18127.99400392565,
2017-10-01,981.52190225,983.209568189515,4.195083143387,-1.687665939517,2.150207,1.69432925,1.807752970424,0.480434505801,-1.827356108799,-1.327356108798,553.263425749996,18310.300008805487,
2018-01-01,982.21216825,983.532287928757,1.290878956972,-1.32011967876,2.696491,1.8745585,2.352633865069,1.275891099807,-1.576189999722,-1.076189999722,553.937548499995,18437.127002498768,
2018-04-01,982.907091,984.07895434608,2.186665669293,-1.171863346083,1.918497,2.06369675,1.688717196043,1.266462440495,-0.924158392438,-0.424158392437,554.417172749995,18565.697006182567,
2018-07-01,983.62653275,985.38309378687,5.216557763163,-1.756561036873,1.457143,2.0555845,1.152674825378,0.74752684665,-0.905252563942,-0.405252563941,554.781458499994,18699.748012875625,
2018-10-01,983.808151,984.989856316549,-1.572949881281,-1.181705316552,2.201642,2.06844325,1.950401594078,1.128352679315,-1.321644070498,-0.821644070497,555.331868999994,18733.74102738632,
2019-01-01,984.34939425,985.767956932519,3.112402463882,-1.418562682522,2.628639,2.05148025,2.244542976345,1.650970042173,-1.095393813118,-0.595393813118,555.989028749994,18835.41102898302,
2019-04-01,985.0201485,985.957038032065,0.756324398186,-0.936889532068,1.798403,2.02145675,1.631415569516,1.511290000522,-0.618752330793,-0.118752330792,556.438629499993,18962.175011092873,
2019-07-01,985.906178,986.111910997546,0.619491861928,-0.205732997549,2.13354,2.190556,2.101881655767,1.86683676494,-0.733480779914,-0.233480779913,556.972014499993,19130.931989821824,
2019-10-01,986.348246249999,986.410645864678,1.194939468527,-0.062399614681,2.359237,2.22995475,2.315025895213,2.330409804816,-0.485596905939,0.014403094061,557.561823749992,19215.690974324636,
2020-01-01,985.166132499999,986.299331874933,-0.445255958974,-1.133199374937,2.439818,2.1827495,2.10960041173,2.441721219332,-0.166804076724,0.333195923277,558.171778249992,18989.876967953653,
2020-04-01,976.300128499999,985.126317631392,-4.692056974162,-8.826189131396,-0.226029,1.6766415,-2.055377526377,-1.552755917467,-0.000366080939,0.499633919062,558.115270999992,17378.711949630768,
2020-07-01,983.861403999999,987.237416853395,8.444396888015,-3.376012853399,3.338738,1.977941,2.48568427609,-0.217195386451,-3.198109292597,-2.698109292597,558.949955499991,18743.719963300962,
2020-10-01,984.820007999999,987.905553555597,2.672546808809,-3.085545555601,2.238355,1.9477205,1.557036476902,-0.033288372805,-2.089089949092,-1.589089949092,559.509544249991,18924.26197154367,
2021-01-01,986.351019999999,988.999748485647,4.376779720203,-2.648728485651,1.699818,1.7627205,1.190626483548,-0.209260111102,-1.901561160727,-1.401561160726,559.93449874999,19216.223976945115,
2021-04-01,988.043629999999,989.736056010135,2.945230097956,-1.692426010139,6.496951,3.4434655,5.55643665547,3.624827362714,-2.429046951902,-1.929046951901,561.55873649999,19544.247957610976,
2021-07-01,988.698177749999,990.296675554865,2.24247817892,-1.598497804869,5.34983,3.9462385,4.448783839761,5.453290000898,0.502256201264,1.002256201264,562.89619399999,19672.593977635144,
2021-10-01,990.379655249999,990.909307979854,2.450529699958,-0.529652729857,6.589742,5.03408525,5.709980173725,7.968794256792,1.759146463543,2.259146463544,564.543629499989,20006.180954277854,
2022-01-01,989.968472749999,991.481530126126,2.288888585091,-1.51305737613,6.963374,6.34997425,5.703663319954,9.764876323879,3.564131432909,4.06413143291,566.284472999989,19924.087931011192,
2022-04-01,989.823733999999,991.460233871221,-0.085185019619,-1.636499871225,6.618856,6.3804505,5.306731987156,10.730700278625,4.921633628822,5.421633628822,567.939186999989,19895.27091491628,
2022-07-01,990.621696999999,991.967533326133,2.029197819652,-1.345836326137,6.82374,6.748928,5.522228077532,11.62963759846,5.608475014713,6.108475014714,569.645121999988,20054.66291439122,
2022-10-01,991.281862749998,992.91784956187,3.801264942951,-1.635986811874,5.421629,6.45689975,4.211558367085,11.0990357944,6.386026157961,6.886026157962,571.000529249988,20187.494903456445,
